"video_id","time_start","obs_duration","island","site","pct_coral","species","max_n","observer","duration","region","depth","lat","long"
"BIOT_7097_SALO_040_BOD_RIG2_L_3","0:00","22:11","Ile Boddam",40,90,"Melichthys niger",2,"Isabel Grudowski",1331s (~22.18 minutes),"Salomon",8,"05 21.789","72 12.176"
"BIOT_7097_SALO_040_BOD_RIG2_L_3","0:00","22:11","Ile Boddam",40,90,"Triaenodon obesus",1,"Isabel Grudowski",1331s (~22.18 minutes),"Salomon",8,"05 21.789","72 12.176"
"BIOT_7097_NELS_054_RIG5_L_2","0:00","30:00","East of Nelson's Island",54,95,"Carcharhinus amblyrhynchos",2,"Isabel Grudowski",1800s (~30 minutes),"Nelson's Island",10.5,"05 40.759","72 20.548"
"BIOT_7097_NELS_054_RIG5_L_2","0:00","30:00","East of Nelson's Island",54,95,"Triaenodon obesus",1,"Isabel Grudowski",1800s (~30 minutes),"Nelson's Island",10.5,"05 40.759","72 20.548"
"BIOT_7097_NELS_054_RIG5_L_2","0:00","30:00","East of Nelson's Island",54,95,"Balistapus undulatus",2,"Isabel Grudowski",1800s (~30 minutes),"Nelson's Island",10.5,"05 40.759","72 20.548"
"BIOT_7097_NELS_054_RIG5_L_2","0:00","30:00","East of Nelson's Island",54,95,"Melichthys niger",1,"Isabel Grudowski",1800s (~30 minutes),"Nelson's Island",10.5,"05 40.759","72 20.548"
"BIOT_7097_NELS_054_RIG5_L_2","0:00","30:00","East of Nelson's Island",54,95,"Variola louti",1,"Isabel Grudowski",1800s (~30 minutes),"Nelson's Island",10.5,"05 40.759","72 20.548"
"BIOT_7097_NELS_054_RIG5_L_2","0:00","30:00","East of Nelson's Island",54,95,"Plectropomus laevis",2,"Isabel Grudowski",1800s (~30 minutes),"Nelson's Island",10.5,"05 40.759","72 20.548"
"BIOT_7097_NELS_054_RIG5_L_2","0:00","30:00","East of Nelson's Island",54,95,"Aethaloperca rogaa",1,"Isabel Grudowski",1800s (~30 minutes),"Nelson's Island",10.5,"05 40.759","72 20.548"
"BIOT_7097_NELS_054_RIG5_L_3","0:00","30:00","East of Nelson's Island",54,95,"Gymnothorax javanicus",1,"Isabel Grudowski",1800s (~30 minutes),"Nelson's Island",10.5,"05 40.759","72 20.548"
"BIOT_7097_EGMT_090_RIG2_L_2","0:00","30:00","Eagle Island",90,80,"Carcharhinus amblyrhynchos",5,"Isabel Grudowski",1800s (~30 minutes),"Egmont",9.2,"06 40.226","71 19.347"
"BIOT_7097_EGMT_090_RIG2_L_2","0:00","30:00","Eagle Island",90,80,"Lutjanus gibbus",3,"Isabel Grudowski",1800s (~30 minutes),"Egmont",9.2,"06 40.226","71 19.347"
"BIOT_7097_EGMT_090_RIG2_L_2","0:00","30:00","Eagle Island",90,80,"Variola louti",1,"Isabel Grudowski",1800s (~30 minutes),"Egmont",9.2,"06 40.226","71 19.347"
"BIOT_7097_EGMT_090_RIG2_L_2","0:00","30:00","Eagle Island",90,80,"Aethaloperca rogaa",2,"Isabel Grudowski",1800s (~30 minutes),"Egmont",9.2,"06 40.226","71 19.347"
"BIOT_7097_EGMT_090_RIG2_L_3","0:00","30:00","Eagle Island",90,80,"Lutjanus bohar",10,"Isabel Grudowski",1800s (~30 minutes),"Egmont",9.2,"06 40.226","71 19.347"
"BIOT_7097_EGMT_090_RIG2_L_3","0:00","30:00","Eagle Island",90,80,"Balistoides viridescens",9,"Isabel Grudowski",1800s (~30 minutes),"Egmont",9.2,"06 40.226","71 19.347"
"BIOT_7097_EGMT_090_RIG2_L_3","0:00","30:00","Eagle Island",90,80,"Gymnothorax javanicus",2,"Isabel Grudowski",1800s (~30 minutes),"Egmont",9.2,"06 40.226","71 19.347"
"BIOT_7097_EGMT_090_RIG2_L_3","0:00","30:00","Eagle Island",90,80,"Lethrinus nebulosus",2,"Isabel Grudowski",1800s (~30 minutes),"Egmont",9.2,"06 40.226","71 19.347"
"BIOT_7097_EGMT_090_RIG2_L_3","0:00","30:00","Eagle Island",90,80,"Cephalopholis argus",3,"Isabel Grudowski",1800s (~30 minutes),"Egmont",9.2,"06 40.226","71 19.347"
"BIOT_7097_SALO_046_MAP_RIG6_L_4","0:00","9:12","Ile de la Passe",46,10,"Melichthys niger",6,"Caroline Mallinson",552s (~9.2 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_4","0:00","9:12","Ile de la Passe",46,10,"Balistoides viridescens",1,"Caroline Mallinson",552s (~9.2 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_4","0:00","9:12","Ile de la Passe",46,10,"Balistapus undulatus",1,"Caroline Mallinson",552s (~9.2 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_4","0:00","9:12","Ile de la Passe",46,10,"Paracirrhites forsteri",1,"Caroline Mallinson",552s (~9.2 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_4","0:00","9:12","Ile de la Passe",46,10,"Variola louti",1,"Caroline Mallinson",552s (~9.2 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_4","0:00","9:12","Ile de la Passe",46,10,"Lethirinus nebulosus",1,"Caroline Mallinson",552s (~9.2 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_2","0:00","17:43","Ile de la Passe",46,10,"Triaenodon obesus",2,"Caroline Mallinson",1063s (~17.72 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_2","0:00","17:43","Ile de la Passe",46,10,"Nebrius ferrugineus",1,"Caroline Mallinson",1063s (~17.72 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_2","0:00","17:43","Ile de la Passe",46,10,"Melichthys niger",11,"Caroline Mallinson",1063s (~17.72 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_2","0:00","17:43","Ile de la Passe",46,10,"Cephalopholis argus",2,"Caroline Mallinson",1063s (~17.72 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_2","0:00","17:43","Ile de la Passe",46,10,"Lethirinus nebulosus",2,"Caroline Mallinson",1063s (~17.72 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_2","0:00","17:43","Ile de la Passe",46,10,"Carcharhinus amblyrhynchos",1,"Caroline Mallinson",1063s (~17.72 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_2","0:00","17:43","Ile de la Passe",46,10,"Balistoides viridescens",2,"Caroline Mallinson",1063s (~17.72 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_2","0:00","17:43","Ile de la Passe",46,10,"Variola louti",1,"Caroline Mallinson",1063s (~17.72 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_3","0:00","6:35","Ile de la Passe",46,10,"Melichthys niger",4,"Caroline Mallinson",395s (~6.58 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_3","0:00","6:35","Ile de la Passe",46,10,"Variola louti",1,"Caroline Mallinson",395s (~6.58 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_3","0:00","6:35","Ile de la Passe",46,10,"Lethirinus nebulosus",1,"Caroline Mallinson",395s (~6.58 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_3","0:00","6:35","Ile de la Passe",46,10,"Balistoides viridescens",1,"Caroline Mallinson",395s (~6.58 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_3","0:00","6:35","Ile de la Passe",46,10,"Cephalophoplis argus",2,"Caroline Mallinson",395s (~6.58 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_SALO_046_MAP_RIG6_L_3","0:00","6:35","Ile de la Passe",46,10,"Lethrinus enigmaticus",1,"Caroline Mallinson",395s (~6.58 minutes),"Salomon",6.3,"05 17.961","72 15.445"
"BIOT_7097_PBAN_029_EAST_RIG3_L_2","0:00","17:43","North of Petite",29,2,"Triaenodon obesus",2,"Caroline Mallinson",1063s (~17.72 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_2","0:00","17:43","North of Petite",29,2,"Plectropomus laevis",2,"Caroline Mallinson",1063s (~17.72 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_2","0:00","17:43","North of Petite",29,2,"Carcharhinus amblyrhynchos",1,"Caroline Mallinson",1063s (~17.72 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_2","0:00","17:43","North of Petite",29,2,"Cephalopholis argus",1,"Caroline Mallinson",1063s (~17.72 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_2","0:00","17:43","North of Petite",29,2,"Lutjanus bohar",25,"Caroline Mallinson",1063s (~17.72 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_2","0:00","17:43","North of Petite",29,2,"Epinephelus fuscoguttatus",2,"Caroline Mallinson",1063s (~17.72 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_2","0:00","17:43","North of Petite",29,2,"Cephalophoplis argus",1,"Caroline Mallinson",1063s (~17.72 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_2","0:00","17:43","North of Petite",29,2,"Lutjanus gibbus",2,"Caroline Mallinson",1063s (~17.72 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_2","0:00","17:43","North of Petite",29,2,"Caranx melampygus",1,"Caroline Mallinson",1063s (~17.72 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_2","0:00","17:43","North of Petite",29,2,"Variola louti",1,"Caroline Mallinson",1063s (~17.72 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_3","0:00","15:06","North of Petite",29,2,"Lutjanus bohar",18,"Caroline Mallinson",906s (~15.1 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_3","0:00","15:06","North of Petite",29,2,"Variola louti",1,"Caroline Mallinson",906s (~15.1 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_3","0:00","15:06","North of Petite",29,2,"Lutjanus gibbus",3,"Caroline Mallinson",906s (~15.1 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_3","0:00","15:06","North of Petite",29,2,"Triaenodon obesus",1,"Caroline Mallinson",906s (~15.1 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_3","0:00","15:06","North of Petite",29,2,"Melichthys niger",1,"Caroline Mallinson",906s (~15.1 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_3","0:00","15:06","North of Petite",29,2,"Plectropomus laevis",1,"Caroline Mallinson",906s (~15.1 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_3","0:00","15:06","North of Petite",29,2,"Balistoides viridescens",1,"Caroline Mallinson",906s (~15.1 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_3","0:00","15:06","North of Petite",29,2,"Carcharhinus melanopterus",1,"Caroline Mallinson",906s (~15.1 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_3","0:00","15:06","North of Petite",29,2,"Epinephelus fuscoguttatus",2,"Caroline Mallinson",906s (~15.1 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
"BIOT_7097_PBAN_029_EAST_RIG3_L_3","0:00","15:06","North of Petite",29,2,"Caranx melampygus",2,"Caroline Mallinson",906s (~15.1 minutes),"PerosBanhos",6.1,"05 18.010","71 58.594"
