video_id,time_start,obs_duration,island,site,pct_coral,species,max_n,observer,notes
BIOT_7097_EGMT_085_RIG6_L_2,0:00,17:43,Ile Des Rats,85,5,Carcharhinus melanopterus,1,Caroline Mallinson,"10:50 nurse shark got some bait out of bag, most remained kept watching"
BIOT_7097_EGMT_085_RIG6_L_2,0:00,17:43,Ile Des Rats,85,5,Plectropomus laevis,2,Caroline Mallinson,
BIOT_7097_EGMT_085_RIG6_L_2,0:00,17:43,Ile Des Rats,85,5,Variola louti,1,Caroline Mallinson,
BIOT_7097_EGMT_085_RIG6_L_2,0:00,17:43,Ile Des Rats,85,5,Nebrius ferrugineus,1,Caroline Mallinson,
BIOT_7097_EGMT_085_RIG6_L_2,0:00,17:43,Ile Des Rats,85,5,Cephalophoplis argus,2,Caroline Mallinson,
BIOT_7097_EGMT_085_RIG6_L_3,0:00,10:41,Ile Des Rats,85,5,Carcharhinus amblyrhynchos,4,Caroline Mallinson,
BIOT_7097_EGMT_085_RIG6_L_3,0:00,10:41,Ile Des Rats,85,5,Nebrius ferrugineus,1,Caroline Mallinson,
BIOT_7097_EGMT_085_RIG6_L_3,0:00,10:41,Ile Des Rats,85,5,Cephalophoplis argus,1,Caroline Mallinson,
BIOT_7097_EGMT_085_RIG6_L_3,0:00,10:41,Ile Des Rats,85,5,Plectropomus laevis,2,Caroline Mallinson,
BIOT_7097_EGMT_085_RIG6_L_3,0:00,10:41,Ile Des Rats,85,5,Variola louti,2,Caroline Mallinson,
BIOT_7097_SALO_050_MAP_RIG2_L_4,10:00,2:00,Ile de la Passe to Ile Mapou,50,5,Melichthys niger,2,Mariana Rivera-Higueras,
BIOT_7097_SALO_050_MAP_RIG2_L_3,0:00,17:43,Ile de la Passe to Ile Mapou,50,5,Triaenodon obesus,2,Mariana Rivera-Higueras,
BIOT_7097_SALO_050_MAP_RIG2_L_3,0:00,17:43,Ile de la Passe to Ile Mapou,50,5,Caranx melampygus,3,Mariana Rivera-Higueras,
BIOT_7097_SALO_050_MAP_RIG2_L_2,0:00,10:00,Ile de la Passe to Ile Mapou,50,5,Carcharhinus amblyrhynchos,5,Mariana Rivera-Higueras,
BIOT_7097_SALO_050_MAP_RIG2_L_2,0:00,10:00,Ile de la Passe to Ile Mapou,50,5,Nebrius ferrugineus,1,Mariana Rivera-Higueras,
BIOT_7097_SALO_038_BOD_RIG4_L_3,10:00,7:43,Ile Boddam,38,35,Caranx melampygus,1,Mariana Rivera-Higueras,
BIOT_7097_SALO_038_BOD_RIG4_L_3,10:00,7:43,Ile Boddam,38,35,Balistoides viridescens,1,Mariana Rivera-Higueras,
