Species,Diet,Habitat,Territorial,Sizeclass,ID,Big Vickis2011,Big Vickis2015,Blue Lagoon2011,Blue Lagoon2015,Bommie Bay2011,Bommie Bay2015,Coconut2011,Coconut2015,Granite2011,Granite2015,LTMP12011,LTMP12015,LTMP32011,LTMP32015,Monkey's Butt2011,Monkey's Butt2015,North Reef2011,North Reef2015,Palfrey Lagoon2011,Palfrey Lagoon2015,Pidgin Point2011,Pidgin Point2015,Resort2011,Resort2015,Steve's Gully2011,Steve's Gyllu2015,Washing Machine2011,Washing Machine2015
dip.bifa,InvMobMac,Hard,Nonterritorial,Medium,dip.bifa,0,0,0,0,0.02315747,0.101162033,0,0,0.10942368,0.093624837,0,0,0,0,0,0,0,0,0,0.045634948,0.239824065,0,0,0,0,0,0,0
dis.mela,TurfDetrit,Rubble,Territorial,Small,dis.mela,0,0.060788929,0,0.717316554,0,0.88024224,0.064186818,0,0,0,0,0,0,0,0,0.072271579,0,0,0.046846452,0.044205253,0,0.260222551,0,0,0,0,0.589602501,0.254329617
dis.pers,TurfDetrit,Sand,Territorial,Medium,dis.pers,0.032944416,0.313514529,0.027884954,0.044205253,4.517530877,0,0,0,0,0,0,0,0.078129295,0,2.024578083,0,0,0,0.036045104,0.851798256,0,0,0,0.030187388,0,0,0.350480617,0
dis.pros,TurfDetrit,Sand,Territorial,Medium,dis.pros,0.04998758,0.626749877,1.126984677,0.154554522,0.118861271,0,0.013942477,0,0.064186818,0,0,0,0,0,0.689104112,0.478731,0,0,0.738055769,0.224866999,0.013942477,0.391916691,0.208422363,0.013942477,0,0,0.1106926,0
dis.pseu,TurfDetrit,Coral,Territorial,Medium,dis.pseu,0,0,0,0,2.06867264,0,0,0,0,0,0,0,0,0,0,0,0,0,2.484632298,0,0,0,0,0,0,0,0,0
epb.insi,InvMobMac,Hard,Nonterritorial,Large,epb.insi,0,0.338744324,0.066335765,0.077716204,0,0.816230411,0.116131516,0.916639434,0,0.055033646,0.979122577,0.86396295,1.855395287,0.214622542,0.421452936,0.066335765,0.89308733,0.745933058,0.275909322,0.093448958,0,0.964658306,0,0.168351922,0.122475419,0.2848027,0.055033646,0.460863549
epi.cyan,Piscivore,Hard,Nonterritorial,Small,epi.cyan,0,0,0,0,0,0,0,0,0,0.581731009,0,0,0,0,0,0,0,0.778826373,0,0,0,0,0.188563975,0.237509962,0,0,0,0
epi.fasc,Piscivore,Hard,Nonterritorial,Large,epi.fasc,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04490757,0,0,0,0.017602648,0,0,0,0.010110854,0,0,0,0.028129576,0.096528755,0
epi.fusc,Piscivore,Hard,Nonterritorial,Verylarge,epi.fusc,0,0,0,0,0,0,0,0,0,0,0,0,8.416526413,0,0,1.482707784,0,1.395612474,0,0,0,0,0,0,0,0,0,0
epi.macr,Piscivore,Hard,Nonterritorial,Large,epi.macr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09458008,0,0,0,0,0
epi.macu,Piscivore,Rubble,Nonterritorial,Large,epi.macu,0,0,0,0,0.360268173,0.970998034,0,0,0,0.029274728,0,0,0.123454876,0.098611917,0,0,0.152663983,0,0,0,0,0,0.297900107,0.304087318,0,0,1.076956703,0
epi.merr,Piscivore,Hard,Nonterritorial,Large,epi.merr,0,0,0,0,0,0,0.005024938,0,0.009740154,0,0,0.306789622,0,0,0,0,0,0.254155842,0,0,0,0,0.115199499,0.041403933,0,0,0,0.529976894
epi.ongu,Piscivore,Hard,Nonterritorial,Large,epi.ongu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196650676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epi.poly,Piscivore,Hard,Nonterritorial,Verylarge,epi.poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.409788653,0,0,0,0,0,0,0,0,0,0
epi.quoy,Piscivore,Rubble,Nonterritorial,Large,epi.quoy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510895271,0,0,0,0
gna.aure,InvMobMac,Hard,Nonterritorial,Medium,gna.aure,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117065992,0,0.115940755,0,0,0,0,0,0,0,0,0,0,0,0
gom.vari,InvMobMic,Hard,Nonterritorial,Medium,gom.vari,0,0,0,0,0.033821399,0.045927383,0.149596761,0.087117888,0.008209157,0,0.096161465,0.035514098,0.042681589,0.067642798,0,0,0.006174703,0,0,0,0.002063676,0.016683511,0,0,0.024562538,0.01062143,0.044174958,0
gym.micr,InvMobMac,Sand,Nonterritorial,Large,gym.micr,0,0,0.090261678,0,0,0,0,0,0,0,0,0,0,0,0.481279065,0,0,0,0,0,0,0,0,0,0,0,0,0
hal.chlo,InvMobMac,Rubble,Nonterritorial,Medium,hal.chlo,0,0,0,0.013761592,0.333791582,0,0.007123955,0,0,0,0,0,0,0.053538273,0,0.036651241,0,0,0.036427729,0,0,0,0,0,0,0,0,0.017909136
hal.hort,InvMobMac,Hard,Nonterritorial,Medium,hal.hort,0.201146411,0,0,0,0,0,0.125335305,0,0,0,0.272983417,0,0.008882951,0.101458601,0,0,0.09495061,0.031670727,0,0,0.042143938,0.187634507,0,0,0,0.028282199,0,0.112559026
hal.marg,InvMobMac,Macroalgae,Nonterritorial,Medium,hal.marg,0,0.010352106,0,0,0.050948336,0,0,0,0,0.030781841,0,0.010352106,0.015114058,0,0,0,0,0,0,0,0,0,0,0.007557029,0,0,0.002250954,0
hal.mela,InvMobMic,Hard,Nonterritorial,Small,hal.mela,0.225377786,0.079664645,0.027045786,0.048226085,0.387736263,0,0.044074574,0.083673349,0.296593957,0,0.145493211,0.168791297,0.115028452,0.165848574,0.048958522,0.17622092,0.238962133,0.152034635,0.12444562,0.016075362,0.059560306,0.104489851,0.279857688,0.230221075,0.084018718,0.228323168,0.452144741,0.010179196
hal.nebu,InvMobMic,Macroalgae,Nonterritorial,Small,hal.nebu,0,0,0,0,0.08396658,0,0,0,0,0.229930849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hal.nigr,InvMobMic,Macroalgae,Nonterritorial,Small,hal.nigr,0,0,0.012872705,0,0,0,0,0.071384364,0,0.053538273,0,0.015114058,0,0,0,0,0,0,0.010352106,0,0,0,0,0.024113698,0,0,0,0
hal.pros,InvMobMic,Hard,Nonterritorial,Small,hal.pros,0,0,0,0,0,0.028282199,0,0,0,0,0,0.038634305,0,0,0,0,0,0,0,0,0.028282199,0,0,0,0,0,0,0
hal.trim,InvMobMic,Sand,Nonterritorial,Medium,hal.trim,0,0,0,0,0.105185084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hem.fasc,InvMobMic,Hard,Nonterritorial,Large,hem.fasc,0,0,0,0,0,0.289843899,0.374832952,0.053378555,0,0,1.395681987,0.088403377,0,0.023023476,0.13241231,0,0,0.044201688,0,0,0,0.116459757,0,0,0.036129035,0.081208407,0.063727415,0
hem.melt,InvMobMic,Hard,Nonterritorial,Large,hem.melt,0.907999155,0.59548384,0.90156233,0.260904617,0.009930588,0,0.338830913,0.193503101,0,0.568085375,1.294014907,0.490876986,0.196744569,0.036129035,0.017853153,0.237881141,0.912206312,0.624944379,0.595306064,0.237264072,0,0.154189419,0,0.088210622,0.494676749,0.624355099,0.368955797,0.529177162
hen.acum,Plankton,Hard,Nonterritorial,Medium,hen.acum,0,0,0.308634431,0,0,0,0,0,0,0,0.074053424,0,0,0,0.290220324,0,0,0,0,0,0.239701004,0,0,0.130461418,0,0,0,0
hen.chry,InvSess,Hard,Nonterritorial,Medium,hen.chry,0,0,0,0,0,0,0,0.119538931,0,0,0,0.056519898,0,0,0,0,0,0,0.059769466,0,0,0,0,0,0,0.037029056,0,0
hen.mono,InvMobMic,Hard,Nonterritorial,Medium,hen.mono,0,0,0.144688987,0,0,0,0,0.067730876,0,0,0.34925532,0.10854374,0,0,0,0,0,0,0,0,0,0,0,0,0.067730876,0,0,0
hen.vari,InvSess,Hard,Nonterritorial,Medium,hen.vari,0,0,0,0,0,0.18714591,0,0,0,0,0,0,0.341790816,0.557689902,0,0,0,0,0,0,0.143615652,0.114473743,0,0,0,0,0,0
hgy.plag,TurfDetrit,Hard,Territorial,Medium,hgy.plag,0,0.922900867,3.308099531,1.723865373,0,0,0,0,0,0,0,0,0,0,3.651149045,0.1106926,0,0,0.763519006,3.842880707,0,0,0,0,0,0,0,0
hip.long,TurfDetrit,Hard,Nonterritorial,Large,hip.long,1.14914622,0.113505225,0,0.376375098,0,10.9322723,4.815287165,1.369693944,0,0,0,0.354573959,0,0.947074668,0,2.338336795,0,1.245457982,1.150714219,0.167631726,2.404454623,0,0,0,0.010328825,0,0.873246614,0
hlg.doli,InvMobMac,Hard,Nonterritorial,Large,hlg.doli,0,0,0,0,0,0,0.023244635,0.029095314,0,0,0.07419484,0.153362396,0,0,0,0,0,0,0,0,0,0,0,0,0.458373513,0,0,0
kyp.bigi,Macroalgae,Hard,Nonterritorial,Verylarge,kyp.bigi,0,0,0,0.689298973,0,0.817328352,1.6706171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457922563,0,0,0,0,0,0,0
kyp.vaig,Macroalgae,Hard,Nonterritorial,Large,kyp.vaig,0,0.496682914,0,3.260193608,0,1.543822508,0.257062092,1.596246401,0.545337763,0,0,0,1.194181127,2.04139004,0,0,0.245712472,0,0,0,6.241108018,0.819362424,0,0,0,0,0,0.993365829
lab.bico,InvMobMic,Hard,Nonterritorial,Small,lab.bico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03056838,0,0,0,0,0,0,0
lab.dimi,InvMobMic,Hard,Nonterritorial,Small,lab.dimi,0.032926694,0.113553889,0.032260213,0.054329294,0.08064769,0.121125228,0.042721521,0.222080589,0.070341036,0.088287803,0.025638377,0.170846742,0.042949903,0.159256283,0.020985398,0.129648639,0.01701216,0.123461201,0.041550344,0.053429366,0.061089974,0.123848756,0.054591546,0.207650579,0.029187585,0.11757763,0.064075647,0.194343458
lbr.xant,InvSess,Hard,Nonterritorial,Small,lbr.xant,0.024814848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lby.unil,InvSess,Coral,Nonterritorial,Medium,lby.unil,0,0,0,0,0,0,0.019856397,0.0156283,0,0,0,0.01206689,0,0.0156283,0,0,0,0.024814848,0.01206689,0,0,0,0,0,0,0,0,0.019856397
let.atki,Piscivore,Seagrass,Nonterritorial,Large,let.atki,0.314985705,0.623081354,0,0,0,0,0,0.520506141,0,0.604498432,0,0.46568627,0,1.529430756,0,0.801174648,0.112610125,0,0,0.350654505,0.222756995,0.585568289,0,0,0.429953453,0.523969511,0,0
let.hara,Piscivore,Rubble,Nonterritorial,Large,let.hara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228405516,0,0,0,0,0,0,0.400566521,0,0,0,0
let.letj,InvMobMac,Seagrass,Nonterritorial,Large,let.letj,0,0,11.05034835,3.108346288,0,0,0,0,0,0,0,0,0,0.784664174,0.844797845,0,0,0.409970684,0.736289373,0,0,0,0,0,0,0,0.296917315,0
let.nebu,Piscivore,Sand,Nonterritorial,Verylarge,let.nebu,0,0.893288565,10.34878474,0,0,0,0,0,0,0,0,0,0,0,0,0.192299703,0,0,0,0,0,0,0,0,0,0,0,0
let.obso,InvMobMac,Seagrass,Nonterritorial,Large,let.obso,0,0.413560145,0,0,0,0.897667758,0.220629812,0,0,0,0,0,0.649393528,0,0.589739563,0,0,0.635871444,3.1969159,0,0,0,0.459268277,0,0,0,0,0
let.oliv,Piscivore,Hard,Nonterritorial,Verylarge,let.oliv,0,0,0.776788606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
let.orna,Piscivore,Seagrass,Nonterritorial,Large,let.orna,0,0,0,0,0,0,0,0.323933076,0,0,0,0,0,0.687547424,0,0.705787837,0,0,0,0,0,0,0,0.222411164,0,0,0,0
let.rubr,Piscivore,Rubble,Nonterritorial,Large,let.rubr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406560183,0,0,0,0,0,0,0,0,0
lut.arge,Piscivore,Mangroves,Nonterritorial,Verylarge,lut.arge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417034035,0,0,0,0,0,0,0
lut.boha,Piscivore,Hard,Nonterritorial,Verylarge,lut.boha,0,0,0.707279974,1.539370459,0,0.593961343,0.026581902,2.65118464,0,0,0.084867343,0.299132991,0.707279974,0.515165185,0,1.936711568,0.152250522,0.041180963,0,0,2.890548629,0,0,0,0.13263074,0,10.90444686,0
lut.carp,Piscivore,Hard,Nonterritorial,Large,lut.carp,0.67798346,1.278183382,2.172056105,0.401910333,1.311590926,2.401448466,1.252797047,0.75078221,0.297465339,0.577774843,0.528569014,0.349986335,2.81985937,0.93775728,1.485936913,0.626438381,0,0.401910333,0.922908762,0.843233754,0.639026714,0.876999251,1.488235485,0.146449429,0.878208963,0.579972357,0.679648156,0.478183637
lut.flma,Piscivore,Mangroves,Nonterritorial,Large,lut.flma,0,0,1.962558335,5.231566522,0,0,0.146682059,1.771388565,0,0,0,5.683357045,0.757012465,0.514205913,7.320237509,0.599155714,0.527089407,1.409048288,0,0,0.166374927,0.235775863,2.367026025,0,0,0,0.187743551,2.591005126
lut.fulv,Piscivore,Hard,Nonterritorial,Large,lut.fulv,0,0,0,0,0,0,0,0,0,0,0,0.262573187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lut.gibb,Piscivore,Hard,Nonterritorial,Large,lut.gibb,0,1.091344735,0,0.953043476,0,0,1.233614354,7.165549277,0,0.541788178,0,0.761726272,0,1.058202886,0,0,0.206618589,0.270894089,0,0,1.166805373,2.803242343,2.433301773,0,0,0.240639215,0,0
lut.kasm,InvMobMac,Hard,Nonterritorial,Large,lut.kasm,0,0.837481388,0.02754008,0,0,0.84860177,0.413796634,1.118124093,0,0,0,0.743619116,0.203903313,0.174110164,0.029489388,0,0.023182597,0.509161062,0,0,0,0.400137359,0.123178161,0,0,0,0,0
lut.mono,Piscivore,Hard,Nonterritorial,Large,lut.mono,0,1.013082017,0,0,0,0,0,0,0,0,0.358726617,0,0,0.370687754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505557899
lut.quin,InvMobMac,Hard,Nonterritorial,Large,lut.quin,0,3.068328992,4.904205748,0,0,0,4.702464085,1.146625963,0,0,0.05260579,1.287219242,0.316902432,0.539789269,1.419772642,0,0,0.75270513,0,0,1.628675444,0.851940126,0.086254835,0,0,0,0,0.390281293
lut.russ,InvMobMac,Hard,Nonterritorial,Medium,lut.russ,0,0,0,0,0,0,0,0,0.110090938,0,0.512586452,0,0,0,1.109021347,0,0,0,0,0,0,0,0,0,0,0,0,0
lut.semi,Piscivore,Hard,Nonterritorial,Large,lut.semi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189015478,0,0,0,0,0,0,0,0,0,0.48463991
lut.vitt,InvMobMac,Hard,Nonterritorial,Large,lut.vitt,0,0,0,0,0,0,0.261633046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111884132,0,0,0,0,0
mcr.macu,Plankton,Hard,Nonterritorial,Large,mcr.macu,0,0,0,0,0,0,0.248642346,0,0,0,0,0.626637393,0,0,0,0,0,3.734412143,0,0,0.929378073,1.201840213,0,0,0,0,0,0
mcr.nigr,Plankton,Hard,Nonterritorial,Large,mcr.nigr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050169107,0,0,0,0,0,0.099285104,0,0,0,0,0,0,0
mon.gran,InvMobMac,Sand,Nonterritorial,Large,mon.gran,0,0,0.174758343,0.446166552,0.174456652,0.724399503,1.625171615,0.606681344,0,0,1.881358207,0.530805645,0.553150683,1.417925052,0.054926808,0.164780424,0.695610281,1.130956373,0.054926808,0,1.288713801,0.066755517,0,0,0.016436317,0.143805366,0,0.151838983
mon.hete,InvMobMac,Sand,Nonterritorial,Large,mon.hete,0,0,0,0.177651938,0,0.872202809,0,0,0,0,0,0.055969612,0,0.303013275,0,3.275798236,0,0,0,0.251230106,0,0,0,0,0,0.569084643,0,0.353723446
mph.choa,InvMobMac,Hard,Nonterritorial,Small,mph.choa,0,0,0,0,0,0,0,0,0,0.005015884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mph.negr,InvMobMac,Hard,Nonterritorial,Small,mph.negr,0,0,0,0,0,0,0,0,0,0,0.013761592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mul.flav,InvMobMac,Sand,Nonterritorial,Large,mul.flav,0,0,0,0.668002382,0,0,0,0,0,0,0,0,0,0,1.229410864,0,0,0,0,0,0,0,0,0,0,0,0,0
nas.annu,Plankton,Hard,Nonterritorial,Verylarge,nas.annu,0.489152387,1.170709435,0,0.189999491,0,0,0.100761574,8.778868008,0.944121542,0.262265022,0.38849319,0.365477096,1.332042627,0.878126161,0,0,0.759846344,0,0,0,0,1.190798389,0.301488278,1.11159351,1.277673595,0.01325096,0,0
nas.brev,Plankton,Hard,Nonterritorial,Large,nas.brev,0,0,0,0,0,0,0,0.351905467,0.394320382,0,0.276726714,0,0,0,0,0,0.865783058,0,0,0,0,0,0,0,0.72561322,0,1.150037934,0
nas.hexa,Plankton,Hard,Nonterritorial,Verylarge,nas.hexa,0,0,0,0,0,0.307788283,0,0.283210005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nas.litu,Macroalgae,Hard,Nonterritorial,Medium,nas.litu,0,0,0.398339315,0,0,0,0,0,0,0,0,0.197985186,0,0.056530999,0,0,1.446544959,0,0,0,0,0,0,0,0,0,0.013735798,5.979321638
nas.tong,Macroalgae,Hard,Nonterritorial,Large,nas.tong,0,0,2.979645442,0.707918513,0,0.772012542,1.373170429,1.310397696,0,0,0,0,0,0,0,0,0.320716394,0,0,0,2.435419908,0,0,0,0,0,0,0
nas.unic,Macroalgae,Hard,Nonterritorial,Verylarge,nas.unic,0,0,0,0,0.511821368,1.829587552,0.72001841,0.162033851,0,0,1.135413025,1.967818873,0.400385155,1.646988492,0,0.715015732,2.101506433,1.081882924,0,0,1.704071915,0.878668139,0.285029313,0,0.090735858,0.275111222,0.302674269,0
nas.vlam,Plankton,Hard,Nonterritorial,Large,nas.vlam,0,0,0,0,0,0.046421333,0,0,0,0,0,0,0,0,0.441636639,0,0.710808983,0,0,0,0,0,0,0,0,0,0,0
neg.mela,Omniv,Hard,Territorial,Small,neg.mela,0,0.182311952,0,0,0,0,0,0,0.140039338,0,0,0.08535264,0.215040461,0,0,0.064541656,0,0,0.098419342,0.053431992,0,0,0.174780075,0.020513438,0,0.213695848,0,0
neg.nigr,TurfDetrit,Hard,Territorial,Small,neg.nigr,0,0,0.07993879,0.427769768,0,1.249420784,0.29619351,1.061765175,0,0,0,0.296888478,0.657332974,0.055050376,0,0,0,0.045109577,0.056732173,0.378605758,0.242900299,0.615441407,0,0,0.023206617,0.032260301,0.174780075,0.724485143
neo.azys,Plankton,Hard,Nonterritorial,Small,neo.azys,0.349170193,0.628968432,0.109021195,0.871602984,0.654623755,0.129418562,0.66069594,0.07355775,0.572118008,0,1.03248758,0.110353102,1.245242461,0.44390445,0.527580493,0.357981051,0.571837076,0.167227908,1.28714028,0.384488331,0.368782766,0.294231001,0.23497002,0,1.259811413,0,0,0.220673251
neo.cyan,Plankton,Hard,Nonterritorial,Small,neo.cyan,0,0,0.03275575,0,0,0,0,0,0,0,0,0,0,0,0.00490385,0,0,0,0,0,0,0,0.286428988,0.065898581,0,0,0,0
nov.taen,InvMobMac,Rubble,Nonterritorial,Medium,nov.taen,0,0,0,0,0,0,0.043722289,0.029095314,0,0,0,0,0.002436526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oxy.diag,Piscivore,Hard,Nonterritorial,Medium,oxy.diag,0.347181463,0.071262944,0.040806327,0,0.174013929,0.03304456,0.079819796,0,0.013904444,0,0.059834717,0.215242557,0,0,0.052687696,0,0,0,0.150800979,0.457629785,0.099418989,0.09913368,0.011809743,0,0.147223772,0.194565991,0.330879135,0.254515789
oxy.orie,Piscivore,Hard,Nonterritorial,Medium,oxy.orie,0.082754054,0,0,0,0,0.13171924,0,0,0.038153591,0,0,0,0,0.071262944,0,0.026343848,0.006251382,0,0,0,0,0,0,0,0.016559377,0,0,0
oxy.unif,Piscivore,Hard,Nonterritorial,Large,oxy.unif,0,0,0,0,0.098353579,0.026343848,0,0,0.275200804,0,0.242263697,0.02062418,0.071262944,0,0,0.150800979,0,2.157715979,0,0,0,0,0,0.171761734,0,0,0.015805902,0
par.barb,InvMobMac,Sand,Nonterritorial,Large,par.barb,0.931226312,0.737796866,0.532422525,0.917593321,1.356804288,0.135588747,0.059303588,0.050169829,0,0,0.287877293,0.480817822,0.272922657,0.966154833,0.177909662,0,0.088199952,0.177909662,0.66199928,0,0.026236819,0,0.927523623,0,0.792760632,0.321208172,0.810313883,0.126928985
par.bifa,InvMobMac,Hard,Nonterritorial,Large,par.bifa,0,0,0,0,0,3.224227204,0,0,0.78297544,1.075782881,1.236327501,0,0,0.259503561,0,0,0.776878892,1.608188403,0,0,1.195478348,1.069489339,0,0,0.153836622,0.440664514,0,0.481087922
par.cili,InvMobMac,Seagrass,Nonterritorial,Large,par.cili,0,0,0,0,0,0,0,0.353358539,0,0,0,2.227494776,0,0.802661688,0,0,0,0,0,0.39562915,0.521303269,0.101380242,0,0,0,0,0,0.037922679
par.cycl,InvMobMac,Rubble,Nonterritorial,Large,par.cycl,0,0,0,0,0.097224454,0.57078248,0,0.450027284,0.05677698,0,0.176801062,0.365243484,0,0,0,0,0.489028019,0,0,0,0,0,0.247788318,0,0.406131122,0,2.398553498,0
par.indi,InvMobMac,Sand,Nonterritorial,Large,par.indi,0,0,0,0,0.021715383,0,0,0,0,2.764981732,0,0,0,0,0,0,0,0,0,0,0,0,0.677851321,0,0,0,0,0
par.mult,InvMobMac,Hard,Nonterritorial,Medium,par.mult,0.9273481,0,0,0,0.741205112,1.387559397,0.178580684,0.445237903,0.335167855,0.244689234,0.225873997,0.028687037,0,0.022185263,0.012354171,0,1.403302152,0.641268537,0.05857934,0,0.236920791,0.61686587,0.431999165,0.503121672,0.207177642,0.232518283,0.728231035,0.289539481
par.pleu,InvMobMac,Rubble,Nonterritorial,Large,par.pleu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02307353,0,0,0,0,0,0,0,0,0,0
pen.aure,InvMobMac,Rubble,Nonterritorial,Medium,pen.aure,0.03513593,0,0,0,0,0,0,0,0,0.367440113,0,0,0,0,0,0,0,0.598441295,0,0,0,0,0,0,0,0,0,0
pen.cani,InvMobMac,Hard,Nonterritorial,Medium,pen.cani,0,0,0,0,0.829188651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pen.emer,InvMobMac,Hard,Nonterritorial,Large,pen.emer,0,0,0,0,0,0,0,0,0,0.009192162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pgy.dick,TurfDetrit,Coral,Territorial,Small,pgy.dick,0,0,0,0,0,0,0,0,0,0,0.196035733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pgy.lacr,TurfDetrit,Hard,Territorial,Small,pgy.lacr,0,0.152178277,0,0,0.085343133,9.544712148,0.68970706,0.744483076,0,0,3.851496384,0.753568343,0.34499755,0.997210407,0,0.032944416,0,0,0,0.046846452,0.323013723,3.706155312,0,0,0,0.032944416,1.396156802,2.026467459
ple.albo,InvMobMac,Hard,Nonterritorial,Verylarge,ple.albo,0,0,0,0,0,9.119459117,1.929797735,0,0,0,0,2.259397688,0,0,0,0,0,10.0864481,1.063562266,6.217386933,0,0,0,0,0,0,0,0
ple.chae,Piscivore,Hard,Nonterritorial,Verylarge,ple.chae,0,0,0,0,0,0,0,0,1.065857018,0,14.27187089,0.570061484,0,0,0,0.992276456,0,0,0.792120494,0,0,3.298225723,0,0,0,0,0,2.631326263
ple.chry,InvMobMac,Hard,Nonterritorial,Large,ple.chry,0,2.742540344,0,23.95813405,0,0,0.594793051,0,0,0,0,0.504327896,0,0,0,1.210134123,0,0,0,3.965645123,0,1.063562266,0,0,1.616273091,0,0,0
ple.flav,Piscivore,Hard,Nonterritorial,Large,ple.flav,0,0,0,0,0,0.594793051,0.386514021,0,0.806733771,0,0,0.764336166,0,0,0,0,0,0,0,0,0,1.730073005,2.145692157,0,0,0,0,0
ple.line,InvMobMac,Hard,Nonterritorial,Large,ple.line,0,0,0,0,0,0,1.441849358,11.64000524,0,0,0,2.772830483,0,23.60107363,0,0,0,0,0,0,0,2.795953504,0,0,0,0,0,0
plx.orbi,Omniv,Hard,Nonterritorial,Medium,plx.orbi,0,0,0.204010248,0,0,0,1.045264825,0,2.23327701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plx.pinn,Omniv,Hard,Nonterritorial,Large,plx.pinn,0,0,0.726003682,0,0,0,0,0,0,0,0,0,0,0,0.235603429,0,0,0,0.780591533,0,1.464010267,0,0,0,0,0.045183131,0,0
plx.teir,Omniv,Hard,Nonterritorial,Large,plx.teir,0,0,7.424889163,0,0,0,0,0,0,0,2.425096225,0,2.47307302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pms.laev,Piscivore,Hard,Nonterritorial,Verylarge,pms.laev,0,0,0,0,0,0.357840495,0.012278622,7.485886195,0,0,0.512979534,0,1.092999289,14.00459923,0,0,0,0,0,0,0.693065755,8.88353958,0,0,0,0,0.294060291,0
pms.leop,Piscivore,Hard,Nonterritorial,Verylarge,pms.leop,2.596583982,11.62864048,1.266289408,6.429575348,2.844574268,8.612063105,1.657182502,15.09009435,5.222816751,1.884984745,16.0141777,14.52220224,11.68546279,17.24162793,2.824328707,5.58412195,4.738244619,1.068900838,5.431044194,0,0.199350228,3.895153697,4.019933313,2.536200758,4.058249951,6.118373849,4.406186886,2.677910061
pms.macu,Piscivore,Hard,Nonterritorial,Verylarge,pms.macu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559746807,0,0.015263209,0
poc.semi,InvSess,Hard,Nonterritorial,Large,poc.semi,0.353483993,0,0,0,0,0,0,0.05907281,0,0,0,0,0,0.100248463,0,0,0,0,0,0,0,0.353483993,0,0,0,0,0.716764045,0
poc.sexs,InvSess,Hard,Nonterritorial,Large,poc.sexs,0.987792149,1.855510307,0.483830407,0.087091596,0.353483993,0.358203439,0.500730986,0.487128112,1.850744429,0.931941214,0.178262592,0.130359335,1.551872896,0.819367008,1.010485551,0.202345822,0,2.137321863,0.318949745,0.788628652,0.515023501,0.949999574,0.135724943,0.353483993,0.291999485,1.312879349,0.353483993,0
poc.xant,InvSess,Hard,Nonterritorial,Large,poc.xant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.177784747,0,0,0,0,0,0,0,0,0,0,0,0
pom.adel,TurfDetrit,Hard,Territorial,Small,pom.adel,3.285941738,0.793012079,0.78341774,0.402490229,1.109469056,0.2266025,0.277943148,0.010691419,0.149879207,0,0.170964448,0.021382837,0.017759231,0.032074256,0.959564925,0.554676807,0.055699874,0.144355286,2.532284756,0.750482011,0.027563455,0.010691419,0.197027065,0.022424192,0.410731948,0.295957783,1.704868701,0.182795471
