Species,Diet,Habitat,Territorial,Sizeclass,ID,Big Vickis2011,Big Vickis2015,Blue Lagoon2011,Blue Lagoon2015,Bommie Bay2011,Bommie Bay2015,Coconut2011,Coconut2015,Granite2011,Granite2015,LTMP12011,LTMP12015,LTMP32011,LTMP32015,Monkey's Butt2011,Monkey's Butt2015,North Reef2011,North Reef2015,Palfrey Lagoon2011,Palfrey Lagoon2015,Pidgin Point2011,Pidgin Point2015,Resort2011,Resort2015,Steve's Gully2011,Steve's Gyllu2015,Washing Machine2011,Washing Machine2015
cha.ttus,InvSess,Hard,Territorial,Small,cha.ttus,0.569022038,0.539663889,0.043087242,0.25414079,0.57010384,0.58486456,0.344476051,0.20064165,0.134741911,0.14711464,0.542399124,0.391848805,0.412366111,0.137059905,1.008427859,0.100775635,0.390289711,0.207723845,0.472964041,0.148350019,0.146738773,0.084856986,0.237992836,0.14711464,0.387398546,0.338340113,0.724635461,0.326540671
cha.ulie,InvSess,Hard,Nonterritorial,Small,cha.ulie,0,0.071822305,0.015512048,0.032971775,0,0,0,0,0,0.098131171,0,0.085363902,0.258560538,0.026196063,0.132937822,0.06594355,0,0,0,0,0,0,0,0,0.049745684,0.061198282,0,0
cha.unim,InvSess,Hard,Nonterritorial,Medium,cha.unim,0,0,0,0,0,0,0.188251277,0.152592252,0,0,0,0.152592252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cha.vaga,Omniv,Hard,Nonterritorial,Medium,cha.vaga,0.673921212,0.218461227,0,0.023121393,0.191773856,0.246688983,0.096133018,0.173874764,0.854486192,0.406771452,0.235200477,0.059894836,0.605112583,0.154610581,0.081261101,0.230160745,0.233141489,0.362427955,0,0.029947418,0.357798902,0.077305291,0.196517662,0.124663164,0.30722659,0.059894836,0.179064404,0.210014346
che.chlo,InvMobMac,Hard,Nonterritorial,Large,che.chlo,2.410865533,0.349789479,0,0.222939314,0.538508303,0.035378236,0.116478887,0.138316484,0.589566146,0.780268477,0,0.115809692,0.017189501,0.29896838,0,0.08824386,0.039822025,0,0.028340494,0,0,0.39399026,0.231550665,0.560911441,0.093059532,0.156778262,0,0
che.fasc,InvMobMac,Hard,Nonterritorial,Large,che.fasc,0.635177288,1.083225126,0.849194959,0.36745919,0.171761734,0.841381165,0.222063923,0.373413116,0,1.221890943,0,0.749372577,0.934001637,0.049709495,0.983110603,0.339842145,0.109544212,0.652648573,0.470160624,0.164068201,0.53217654,0.650085736,1.481610551,0,0.440031442,0.417624833,0.339842145,0.491408305
che.tril,InvMobMac,Hard,Nonterritorial,Large,che.tril,0,0.105479208,0,0,0,0,0.103103762,0.042764847,0,0,0,0.158106311,0,0,0,0,0,0,0,0,0,0,0,0,0.180090143,0,0,0
che.undu,InvMobMac,Hard,Nonterritorial,Verylarge,che.undu,0,37.30542744,13.51305947,0,0,4.8143024,26.53184129,4.013818827,0,0,0,0,0,32.15448508,0,0,0,33.00845601,0,0,0,9.785691197,0,0,0,9.105830473,0,17.61549
chm.rost,InvMobMac,Hard,Nonterritorial,Medium,chm.rost,0,0.161960225,0,0.114460573,0,0,0,0,0,0.133429702,0,0,0,0.122369181,0.087017083,0.040903253,0,0.187829959,0,0,0,0,0,0,0.172756999,0.130616268,0,0
cho.fasc,InvMobMac,Hard,Territorial,Medium,cho.fasc,0,0.069879087,0.397227189,0,0,0.370838477,0.263288858,0,0,0,0.295621045,0,0.259982269,0,0.141360108,0.36810745,0,0,0,0,0.670817084,0.406706633,0,0,0,0.038115131,0.056870891,0.068357571
cho.grap,Piscivore,Rubble,Nonterritorial,Large,cho.grap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156289319,0,0,0,0
