species,group,group2
Hammond's Flycatcher,songbirds,NA
Sprague's Pipit,songbirds,NA
MacGillivray's Warbler,songbirds,NA
Eastern Bluebird,songbirds,NA
Field Sparrow,songbirds,NA
Dark-eyed Junco,songbirds,NA
Long-billed Thrasher,songbirds,NA
Tropical Parula,songbirds,NA
Ash-throated Flycatcher,songbirds,NA
Plumbeous Vireo,songbirds,NA
Scaly-breasted Munia,songbirds,NA
Blue-winged Teal,waterbirds,ducks
Northern Shoveler,waterbirds,ducks
American Wigeon,waterbirds,ducks
Northern Pintail,waterbirds,ducks
Redhead,waterbirds,ducks
Ring-necked Duck,waterbirds,ducks
Greater Scaup,waterbirds,ducks
Lesser Scaup,waterbirds,ducks
Bufflehead,waterbirds,ducks
Common Goldeneye,waterbirds,ducks
Red-breasted Merganser,waterbirds,ducks
Eared Grebe,waterbirds,grebes
Rock Pigeon,other,NA
American Coot,waterbirds,rallidae
Common Loon,waterbirds,loons
Yellow-crowned Night Heron,waterbirds,herons
Black-crowned Night Heron,waterbirds,herons
Little Blue Heron,waterbirds,herons
Tricolored Heron,waterbirds,herons
Reddish Egret,waterbirds,herons
Snowy Egret,waterbirds,herons
Western Cattle Egret,waterbirds,herons
Great Egret,waterbirds,herons
Great Blue Heron,waterbirds,herons
White Ibis,waterbirds,threskiornithidae
Roseate Spoonbill,waterbirds,threskiornithidae
Fulvous Whistling-Duck,waterbirds,ducks
Cinnamon Teal,waterbirds,ducks
Gadwall,waterbirds,ducks
Green-winged Teal,waterbirds,ducks
Hooded Merganser,waterbirds,ducks
Pied-billed Grebe,waterbirds,grebes
Mallard,waterbirds,ducks
Western Grebe,waterbirds,grebes
White-faced Ibis,waterbirds,threskiornithidae
Ruddy Duck,waterbirds,ducks
Mottled Duck,waterbirds,ducks
Green Heron,waterbirds,herons
Black-bellied Whistling-Duck,waterbirds,ducks
Canvasback,waterbirds,ducks
Least Grebe,waterbirds,grebes
Clapper Rail,waterbirds,rallidae
Virginia Rail,waterbirds,rallidae
Whooping Crane,waterbirds,gruidae
Wood Stork,waterbirds,storks
Greater White-fronted Goose,waterbirds,geese
Long-tailed Duck,waterbirds,ducks
Sandhill Crane,waterbirds,gruidae
Pacific Loon,waterbirds,loons
Common Gallinule,waterbirds,rallidae
Snow Goose,waterbirds,geese
Wood Duck,waterbirds,ducks
King Rail,waterbirds,rallidae
Sora,waterbirds,rallidae
Purple Gallinule,waterbirds,rallidae
Anhinga,waterbirds,suliformes
American Bittern,waterbirds,herons
Least Bittern,waterbirds,herons
Ross's Goose,waterbirds,geese
Greater Flamingo,waterbirds,flamingos
Glossy Ibis,waterbirds,threskiornithidae
Egyptian Goose,waterbirds,geese
